name,sqftband,psfband_pred
coastline residences,"(1.0, 1.5]","(2.0, 3.0]"
coco palms,"(0.0, 1.0]","(1.0, 2.0]"
coco palms,"(1.0, 1.5]","(1.0, 2.0]"
coco palms,"(1.5, 2.0]","(1.0, 2.0]"
coco palms,"(2.0, 2.5]","(1.0, 2.0]"
commonwealth towers,"(0.0, 1.0]","(2.0, 3.0]"
commonwealth towers,"(1.0, 1.5]","(2.0, 3.0]"
compass heights,"(0.0, 1.0]","(0.0, 1.0]"
compass heights,"(1.0, 1.5]","(1.0, 2.0]"
compassvale bow,"(0.0, 1.0]","(2.0, 3.0]"
compassvale bow,"(1.0, 1.5]","(1.0, 2.0]"
concourse skyline,"(0.0, 1.0]","(2.0, 3.0]"
concourse skyline,"(1.0, 1.5]","(2.0, 3.0]"
concourse skyline,"(2.0, 2.5]","(2.0, 3.0]"
concourse skyline,"(5.0, 15.0]","(5.0, 6.5]"
coralis,"(0.0, 1.0]","(2.0, 3.0]"
corals at keppel bay,"(0.0, 1.0]","(2.0, 3.0]"
corals at keppel bay,"(1.0, 1.5]","(2.0, 3.0]"
corals at keppel bay,"(1.5, 2.0]","(2.0, 3.0]"
corals at keppel bay,"(2.5, 3.0]","(2.0, 3.0]"
corals at keppel bay,"(3.0, 4.0]","(3.0, 4.0]"
corals at keppel bay,"(4.0, 5.0]","(2.0, 3.0]"
corona ville,"(1.5, 2.0]","(1.0, 2.0]"
costa del sol,"(1.0, 1.5]","(1.0, 2.0]"
costa del sol,"(1.5, 2.0]","(1.0, 2.0]"
costa rhu,"(0.0, 1.0]","(1.0, 2.0]"
costa rhu,"(1.0, 1.5]","(1.0, 2.0]"
costa rhu,"(1.5, 2.0]","(1.0, 2.0]"
costa rhu,"(2.0, 2.5]","(1.0, 2.0]"
cote d'azur,"(0.0, 1.0]","(1.0, 2.0]"
cote d'azur,"(1.0, 1.5]","(1.0, 2.0]"
cote d'azur,"(1.5, 2.0]","(1.0, 2.0]"
cote d'azur,"(2.0, 2.5]","(1.0, 2.0]"
country park condominium,"(1.0, 1.5]","(1.0, 2.0]"
cradels,"(0.0, 1.0]","(1.0, 2.0]"
craig place,"(0.0, 1.0]","(2.0, 3.0]"
crescendo building,"(1.0, 1.5]","(1.0, 2.0]"
crescendo park,"(1.0, 1.5]","(1.0, 2.0]"
crystal de azure,"(1.0, 1.5]","(1.0, 2.0]"
crystal lodge,"(1.0, 1.5]","(1.0, 2.0]"
crystal rhu,"(1.0, 1.5]","(1.0, 2.0]"
cube 8,"(0.0, 1.0]","(1.0, 2.0]"
cube 8,"(1.0, 1.5]","(2.0, 3.0]"
cubik,"(1.0, 1.5]","(1.0, 2.0]"
cuscaden reserve,"(0.0, 1.0]","(3.0, 4.0]"
cuscaden reserve,"(1.0, 1.5]","(4.0, 5.0]"
cuscaden residences,"(4.0, 5.0]","(2.0, 3.0]"
cyan,"(1.0, 1.5]","(2.0, 3.0]"
cyan,"(1.5, 2.0]","(2.0, 3.0]"
cyan,"(2.0, 2.5]","(2.0, 3.0]"
cyan,"(2.5, 3.0]","(2.0, 3.0]"
cyan,"(3.0, 4.0]","(2.0, 3.0]"
cyan,"(5.0, 15.0]","(2.0, 3.0]"
d'hiro@hillside,"(0.0, 1.0]","(1.0, 2.0]"
d'leedon,"(0.0, 1.0]","(2.0, 3.0]"
d'leedon,"(1.0, 1.5]","(1.0, 2.0]"
d'leedon,"(1.5, 2.0]","(1.0, 2.0]"
d'leedon,"(2.0, 2.5]","(2.0, 3.0]"
d'leedon,"(2.5, 3.0]","(1.0, 2.0]"
d'leedon,"(3.0, 4.0]","(2.0, 3.0]"
d'leedon,"(4.0, 5.0]","(1.0, 2.0]"
d'leedon,"(5.0, 15.0]","(1.0, 2.0]"
d'lotus,"(0.0, 1.0]","(1.0, 2.0]"
d'mira,"(0.0, 1.0]","(1.0, 2.0]"
d'mira,"(1.5, 2.0]","(1.0, 2.0]"
d'nest,"(0.0, 1.0]","(1.0, 2.0]"
d'nest,"(1.0, 1.5]","(1.0, 2.0]"
d'oasia,"(0.0, 1.0]","(1.0, 2.0]"
d'pavilion,"(1.0, 1.5]","(1.0, 2.0]"
d'sunrise,"(0.0, 1.0]","(1.0, 2.0]"
d'weave,"(0.0, 1.0]","(1.0, 2.0]"
d'zire,"(0.0, 1.0]","(1.0, 2.0]"
dahlia park condominium,"(1.0, 1.5]","(1.0, 2.0]"
daintree residence,"(0.0, 1.0]","(2.0, 3.0]"
daintree residence,"(1.0, 1.5]","(1.0, 2.0]"
dairy farm heights,"(0.0, 1.0]","(1.0, 2.0]"
dairy farm residences,"(0.0, 1.0]","(1.0, 2.0]"
dairy farm residences,"(1.0, 1.5]","(1.0, 2.0]"
daisy suites,"(0.0, 1.0]","(2.0, 3.0]"
dakota residences,"(1.0, 1.5]","(1.0, 2.0]"
dakota residences,"(1.5, 2.0]","(2.0, 3.0]"
dalvey haus,"(0.0, 1.0]","(3.0, 4.0]"
dalvey haus,"(1.0, 1.5]","(3.0, 4.0]"
dalvey haus,"(1.5, 2.0]","(3.0, 4.0]"
dalvey haus,"(2.0, 2.5]","(3.0, 4.0]"
de royale,"(1.0, 1.5]","(1.0, 2.0]"
devonshire 12,"(0.0, 1.0]","(2.0, 3.0]"
devonshire residences,"(0.0, 1.0]","(2.0, 3.0]"
domus,"(0.0, 1.0]","(2.0, 3.0]"
domus,"(3.0, 4.0]","(1.0, 2.0]"
dorsett residences,"(0.0, 1.0]","(2.0, 3.0]"
dorsett residences,"(1.0, 1.5]","(2.0, 3.0]"
double bay residences,"(0.0, 1.0]","(1.0, 2.0]"
double bay residences,"(1.0, 1.5]","(1.0, 2.0]"
double bay residences,"(3.0, 4.0]","(1.0, 2.0]"
dover parkview,"(0.0, 1.0]","(1.0, 2.0]"
dover parkview,"(1.0, 1.5]","(1.0, 2.0]"
draycott drive,"(2.0, 2.5]","(2.0, 3.0]"
draycott eight,"(1.0, 1.5]","(2.0, 3.0]"
draycott eight,"(1.5, 2.0]","(2.0, 3.0]"
draycott eight,"(2.5, 3.0]","(2.0, 3.0]"
dublin road,"(1.5, 2.0]","(2.0, 3.0]"
duchess crest,"(0.0, 1.0]","(1.0, 2.0]"
duchess crest,"(1.0, 1.5]","(1.0, 2.0]"
duchess crest,"(1.5, 2.0]","(1.0, 2.0]"
duchess crest,"(4.0, 5.0]","(1.0, 2.0]"
duchess residences,"(1.0, 1.5]","(2.0, 3.0]"
duchess residences,"(1.5, 2.0]","(2.0, 3.0]"
duchess residences,"(2.5, 3.0]","(1.0, 2.0]"
duchess residences,"(3.0, 4.0]","(1.0, 2.0]"
duchess royale,"(2.0, 2.5]","(2.0, 3.0]"
duet,"(3.0, 4.0]","(1.0, 2.0]"
dukes residence,"(1.5, 2.0]","(2.0, 3.0]"
dunearn 386,"(0.0, 1.0]","(2.0, 3.0]"
dunearn 386,"(1.0, 1.5]","(2.0, 3.0]"
dunman view,"(1.0, 1.5]","(1.0, 2.0]"
duo residences,"(0.0, 1.0]","(2.0, 3.0]"
duo residences,"(1.0, 1.5]","(2.0, 3.0]"
duo residences,"(1.5, 2.0]","(3.0, 4.0]"
duo residences,"(4.0, 5.0]","(2.0, 3.0]"
dynasty garden,"(2.0, 2.5]","(1.0, 2.0]"
dynasty lodge,"(1.5, 2.0]","(1.0, 2.0]"
dyson road,"(0.0, 1.0]","(3.0, 4.0]"
e maison,"(0.0, 1.0]","(1.0, 2.0]"
e maison,"(1.0, 1.5]","(1.0, 2.0]"
east bay gardens,"(1.5, 2.0]","(1.0, 2.0]"
east coast residences,"(0.0, 1.0]","(1.0, 2.0]"
east coast road,"(1.5, 2.0]","(2.0, 3.0]"
east meadows,"(1.0, 1.5]","(1.0, 2.0]"
east palm,"(0.0, 1.0]","(1.0, 2.0]"
east village,"(0.0, 1.0]","(1.0, 2.0]"
east village,"(1.0, 1.5]","(1.0, 2.0]"
eastbay,"(1.0, 1.5]","(1.0, 2.0]"
eastern lagoon,"(1.0, 1.5]","(2.0, 3.0]"
eastpoint green,"(0.0, 1.0]","(0.0, 1.0]"
eastpoint green,"(1.0, 1.5]","(1.0, 2.0]"
eastpoint green,"(2.0, 2.5]","(0.0, 1.0]"
eastvale,"(1.0, 1.5]","(0.0, 1.0]"
eastville apartments,"(0.0, 1.0]","(1.0, 2.0]"
eastville apartments,"(1.0, 1.5]","(1.0, 2.0]"
eastwood lodge,"(0.0, 1.0]","(1.0, 2.0]"
eastwood regency,"(0.0, 1.0]","(1.0, 2.0]"
echelon,"(0.0, 1.0]","(2.0, 3.0]"
echelon,"(1.0, 1.5]","(2.0, 3.0]"
echelon,"(4.0, 5.0]","(2.0, 3.0]"
eco,"(0.0, 1.0]","(1.0, 2.0]"
eco,"(1.0, 1.5]","(1.0, 2.0]"
eco,"(3.0, 4.0]","(1.0, 2.0]"
eco sanctuary,"(0.0, 1.0]","(1.0, 2.0]"
eco sanctuary,"(1.0, 1.5]","(1.0, 2.0]"
eco sanctuary,"(1.5, 2.0]","(1.0, 2.0]"
ecopolitan,"(0.0, 1.0]","(1.0, 2.0]"
ecopolitan,"(1.0, 1.5]","(1.0, 2.0]"
ecopolitan,"(1.5, 2.0]","(1.0, 2.0]"
edelweiss park condominium,"(0.0, 1.0]","(1.0, 2.0]"
edelweiss park condominium,"(1.0, 1.5]","(0.0, 1.0]"
edelweiss park condominium,"(3.0, 4.0]","(0.0, 1.0]"
eden residences capitol,"(2.0, 2.5]","(3.0, 4.0]"
eden residences capitol,"(2.5, 3.0]","(3.0, 4.0]"
eden residences capitol,"(3.0, 4.0]","(3.0, 4.0]"
eden residences capitol,"(4.0, 5.0]","(4.0, 5.0]"
eden residences capitol,"(5.0, 15.0]","(4.0, 5.0]"
edenz loft,"(0.0, 1.0]","(1.0, 2.0]"
edenz suites,"(0.0, 1.0]","(1.0, 2.0]"
edgedale plains,"(0.0, 1.0]","(1.0, 2.0]"
edgedale plains,"(1.0, 1.5]","(1.0, 2.0]"
eight courtyards,"(0.0, 1.0]","(1.0, 2.0]"
eight courtyards,"(1.0, 1.5]","(1.0, 2.0]"
eight riversuites,"(0.0, 1.0]","(1.0, 2.0]"
eight riversuites,"(1.0, 1.5]","(1.0, 2.0]"
eight riversuites,"(1.5, 2.0]","(1.0, 2.0]"
eight riversuites,"(2.0, 2.5]","(1.0, 2.0]"
eight riversuites,"(2.5, 3.0]","(1.0, 2.0]"
eight riversuites,"(3.0, 4.0]","(1.0, 2.0]"
eis residences,"(0.0, 1.0]","(1.0, 2.0]"
elias green,"(1.5, 2.0]","(0.0, 1.0]"
elizabeth heights,"(2.5, 3.0]","(2.0, 3.0]"
elizabeth tower,"(2.5, 3.0]","(3.0, 4.0]"
ellington square,"(0.0, 1.0]","(1.0, 2.0]"
elliot at the east coast,"(2.0, 2.5]","(1.0, 2.0]"
elliot at the east coast,"(2.5, 3.0]","(1.0, 2.0]"
emerald apartments,"(1.0, 1.5]","(2.0, 3.0]"
emerald garden,"(0.0, 1.0]","(2.0, 3.0]"
emerald hill conservation area,"(0.0, 1.0]","(3.0, 4.0]"
emerald hill conservation area,"(1.0, 1.5]","(2.0, 3.0]"
emerald hill road,"(1.0, 1.5]","(2.0, 3.0]"
emerald park,"(0.0, 1.0]","(1.0, 2.0]"
emerald park,"(1.0, 1.5]","(1.0, 2.0]"
emily residence,"(0.0, 1.0]","(1.0, 2.0]"
eng hoon mansions,"(1.5, 2.0]","(1.0, 2.0]"
eng hoon street,"(1.0, 1.5]","(1.0, 2.0]"
eng kong green,"(0.0, 1.0]","(1.0, 2.0]"
envio,"(2.0, 2.5]","(1.0, 2.0]"
eon shenton,"(0.0, 1.0]","(2.0, 3.0]"
eon shenton,"(1.0, 1.5]","(2.0, 3.0]"
equatorial apartments,"(2.0, 2.5]","(2.0, 3.0]"
espa,"(0.0, 1.0]","(1.0, 2.0]"
espa,"(1.5, 2.0]","(1.0, 2.0]"
espada,"(0.0, 1.0]","(2.0, 3.0]"
esparina residences,"(0.0, 1.0]","(1.0, 2.0]"
esparina residences,"(1.0, 1.5]","(1.0, 2.0]"
esparina residences,"(1.5, 2.0]","(1.0, 2.0]"
espira residence,"(0.0, 1.0]","(1.0, 2.0]"
espira suites,"(1.0, 1.5]","(1.0, 2.0]"
esta ruby,"(1.0, 1.5]","(1.0, 2.0]"
estella gardens,"(0.0, 1.0]","(1.0, 2.0]"
estella gardens,"(1.0, 1.5]","(1.0, 2.0]"
estilo,"(0.0, 1.0]","(2.0, 3.0]"
estique,"(0.0, 1.0]","(1.0, 2.0]"
eu tong sen street,"(0.0, 1.0]","(2.0, 3.0]"
euhabitat,"(0.0, 1.0]","(1.0, 2.0]"
euhabitat,"(1.5, 2.0]","(1.0, 2.0]"
euhabitat,"(3.0, 4.0]","(0.0, 1.0]"
euphony gardens,"(1.0, 1.5]","(0.0, 1.0]"
euro-asia court,"(1.0, 1.5]","(2.0, 3.0]"
euro-asia court,"(1.5, 2.0]","(2.0, 3.0]"
evergreen park,"(1.0, 1.5]","(0.0, 1.0]"
everitt edge,"(0.0, 1.0]","(1.0, 2.0]"
ewe boon regent,"(4.0, 5.0]","(2.0, 3.0]"
faber crest,"(1.5, 2.0]","(1.0, 2.0]"
faber hills,"(1.0, 1.5]","(1.0, 2.0]"
fairmount condominium,"(1.5, 2.0]","(0.0, 1.0]"
farrer park suites,"(0.0, 1.0]","(1.0, 2.0]"
farrer road,"(0.0, 1.0]","(2.0, 3.0]"
fernvale close,"(1.0, 1.5]","(1.0, 2.0]"
fernvale lane,"(0.0, 1.0]","(1.0, 2.0]"
fernvale link,"(1.0, 1.5]","(1.0, 2.0]"
fernvale road,"(0.0, 1.0]","(1.0, 2.0]"
fernvale road,"(1.0, 1.5]","(1.0, 2.0]"
ferraria park condominium,"(0.0, 1.0]","(1.0, 2.0]"
ferraria park condominium,"(1.0, 1.5]","(1.0, 2.0]"
ferraria park condominium,"(1.5, 2.0]","(1.0, 2.0]"
fifth avenue,"(0.0, 1.0]","(2.0, 3.0]"
fifty-two stevens,"(0.0, 1.0]","(2.0, 3.0]"
fifty-two stevens,"(1.0, 1.5]","(1.0, 2.0]"
fiorenza,"(0.0, 1.0]","(1.0, 2.0]"
fiorenza,"(1.0, 1.5]","(1.0, 2.0]"
flame tree park,"(0.0, 1.0]","(1.0, 2.0]"
flame tree park,"(1.0, 1.5]","(1.0, 2.0]"
flame tree park,"(1.5, 2.0]","(1.0, 2.0]"
flamingo valley,"(0.0, 1.0]","(1.0, 2.0]"
flamingo valley,"(1.0, 1.5]","(1.0, 2.0]"
flamingo valley,"(2.0, 2.5]","(1.0, 2.0]"
flamingo valley,"(2.5, 3.0]","(1.0, 2.0]"
flamingo valley,"(3.0, 4.0]","(1.0, 2.0]"
flanders square,"(1.0, 1.5]","(1.0, 2.0]"
flo residence,"(0.0, 1.0]","(1.0, 2.0]"
flo residence,"(1.0, 1.5]","(1.0, 2.0]"
flo residence,"(2.0, 2.5]","(1.0, 2.0]"
floraview,"(0.0, 1.0]","(1.0, 2.0]"
floraview,"(1.0, 1.5]","(1.0, 2.0]"
floraville,"(0.0, 1.0]","(1.0, 2.0]"
floridian,"(0.0, 1.0]","(2.0, 3.0]"
floridian,"(1.0, 1.5]","(2.0, 3.0]"
floridian,"(1.5, 2.0]","(2.0, 3.0]"
floridian,"(2.0, 2.5]","(2.0, 3.0]"
floridian,"(2.5, 3.0]","(2.0, 3.0]"
flower road,"(1.0, 1.5]","(1.0, 2.0]"
flower road,"(2.0, 2.5]","(1.0, 2.0]"
fontaine parry,"(2.0, 2.5]","(1.0, 2.0]"
fontana heights,"(4.0, 5.0]","(2.0, 3.0]"
fook hai building,"(1.5, 2.0]","(2.0, 3.0]"
foresque residences,"(0.0, 1.0]","(1.0, 2.0]"
foresque residences,"(1.0, 1.5]","(1.0, 2.0]"
foresque residences,"(1.5, 2.0]","(1.0, 2.0]"
foresque residences,"(2.0, 2.5]","(1.0, 2.0]"
forest hills condominium,"(1.0, 1.5]","(1.0, 2.0]"
forest hills condominium,"(1.5, 2.0]","(0.0, 1.0]"
forest woods,"(0.0, 1.0]","(2.0, 3.0]"
forest woods,"(1.0, 1.5]","(1.0, 2.0]"
forestville,"(1.0, 1.5]","(1.0, 2.0]"
forestville,"(1.5, 2.0]","(0.0, 1.0]"
forett@bukit timah,"(0.0, 1.0]","(2.0, 3.0]"
forett@bukit timah,"(1.0, 1.5]","(2.0, 3.0]"
forett@bukit timah,"(1.5, 2.0]","(2.0, 3.0]"
forett@bukit timah,"(5.0, 15.0]","(1.0, 2.0]"
fort gardens,"(1.0, 1.5]","(2.0, 3.0]"
forte suites,"(0.0, 1.0]","(2.0, 3.0]"
forte suites,"(1.0, 1.5]","(1.0, 2.0]"
four seasons park,"(2.5, 3.0]","(3.0, 4.0]"
fourth avenue residences,"(0.0, 1.0]","(2.0, 3.0]"
fourth avenue residences,"(1.0, 1.5]","(2.0, 3.0]"
frankel estate,"(0.0, 1.0]","(1.0, 2.0]"
fraser street,"(1.5, 2.0]","(2.0, 3.0]"
fraser street,"(2.0, 2.5]","(2.0, 3.0]"
freesia woods,"(1.0, 1.5]","(1.0, 2.0]"
fulcrum,"(0.0, 1.0]","(2.0, 3.0]"
fulcrum,"(1.0, 1.5]","(2.0, 3.0]"
fuyuen court,"(0.0, 1.0]","(1.0, 2.0]"
fuyuen court,"(1.0, 1.5]","(1.0, 2.0]"
fyve derbyshire,"(0.0, 1.0]","(2.0, 3.0]"
gallop gables,"(1.5, 2.0]","(2.0, 3.0]"
gambir ridge,"(0.0, 1.0]","(1.0, 2.0]"
gambir ridge,"(1.0, 1.5]","(1.0, 2.0]"
garden park residences,"(0.0, 1.0]","(1.0, 2.0]"
garden park residences,"(1.0, 1.5]","(1.0, 2.0]"
gardenvista,"(0.0, 1.0]","(1.0, 2.0]"
gardenvista,"(1.0, 1.5]","(1.0, 2.0]"
gem residences,"(0.0, 1.0]","(1.0, 2.0]"
gem residences,"(1.0, 1.5]","(1.0, 2.0]"
geylang road,"(1.5, 2.0]","(0.0, 1.0]"
geylang road,"(4.0, 5.0]","(2.0, 3.0]"
gilstead two,"(0.0, 1.0]","(2.0, 3.0]"
gilstead two,"(2.5, 3.0]","(2.0, 3.0]"
glasgow residence,"(0.0, 1.0]","(1.0, 2.0]"
glendale park,"(1.0, 1.5]","(1.0, 2.0]"
glentrees,"(3.0, 4.0]","(1.0, 2.0]"
gloucester mansions,"(0.0, 1.0]","(1.0, 2.0]"
goldenhill park condominium,"(1.0, 1.5]","(1.0, 2.0]"
goldhill towers,"(1.5, 2.0]","(2.0, 3.0]"
goodwood gardens,"(3.0, 4.0]","(1.0, 2.0]"
goodwood grand,"(0.0, 1.0]","(2.0, 3.0]"
goodwood grand,"(1.0, 1.5]","(3.0, 4.0]"
goodwood grand,"(5.0, 15.0]","(1.0, 2.0]"
goodwood residence,"(1.0, 1.5]","(2.0, 3.0]"
goodwood residence,"(1.5, 2.0]","(2.0, 3.0]"
goodwood residence,"(2.5, 3.0]","(2.0, 3.0]"
gramercy park,"(1.0, 1.5]","(4.0, 5.0]"
gramercy park,"(2.0, 2.5]","(3.0, 4.0]"
grand chateau,"(1.0, 1.5]","(1.0, 2.0]"
grande vista,"(1.0, 1.5]","(1.0, 2.0]"
grande vista,"(1.5, 2.0]","(1.0, 2.0]"
grande vista,"(2.5, 3.0]","(1.0, 2.0]"
grandeur 8,"(1.0, 1.5]","(1.0, 2.0]"
grandeur park residences,"(0.0, 1.0]","(1.0, 2.0]"
grandeur park residences,"(1.0, 1.5]","(1.0, 2.0]"
grandview suites,"(0.0, 1.0]","(1.0, 2.0]"
grange 1866,"(0.0, 1.0]","(2.0, 3.0]"
grange heights,"(1.5, 2.0]","(2.0, 3.0]"
grange heights,"(2.5, 3.0]","(3.0, 4.0]"
grange heights,"(3.0, 4.0]","(2.0, 3.0]"
grange heights,"(4.0, 5.0]","(1.0, 2.0]"
grange infinite,"(2.0, 2.5]","(2.0, 3.0]"
grange infinite,"(2.5, 3.0]","(2.0, 3.0]"
grange infinite,"(5.0, 15.0]","(3.0, 4.0]"
grange residences,"(2.5, 3.0]","(3.0, 4.0]"
gray lane,"(1.0, 1.5]","(1.0, 2.0]"
green court,"(1.5, 2.0]","(1.0, 2.0]"
guilin mansions,"(1.0, 1.5]","(1.0, 2.0]"
guilin view,"(0.0, 1.0]","(1.0, 2.0]"
guilin view,"(1.0, 1.5]","(1.0, 2.0]"
guillemard edge,"(0.0, 1.0]","(1.0, 2.0]"
guillemard road,"(0.0, 1.0]","(1.0, 2.0]"
guillemard suites,"(0.0, 1.0]","(1.0, 2.0]"
guillemard suites,"(1.0, 1.5]","(1.0, 2.0]"
h2o residences,"(0.0, 1.0]","(1.0, 2.0]"
h2o residences,"(1.5, 2.0]","(1.0, 2.0]"
haig 162,"(0.0, 1.0]","(1.0, 2.0]"
haig apartments,"(1.5, 2.0]","(1.0, 2.0]"
haig residences,"(0.0, 1.0]","(1.0, 2.0]"
hallmark residences,"(1.5, 2.0]","(2.0, 3.0]"
hallmark residences,"(2.5, 3.0]","(2.0, 3.0]"
harbour suites,"(0.0, 1.0]","(2.0, 3.0]"
harbour view gardens,"(0.0, 1.0]","(1.0, 2.0]"
harbourlights,"(0.0, 1.0]","(1.0, 2.0]"
harbourlights,"(1.0, 1.5]","(1.0, 2.0]"
haus on handy,"(0.0, 1.0]","(2.0, 3.0]"
haus on handy,"(1.0, 1.5]","(2.0, 3.0]"
hawaii tower,"(2.0, 2.5]","(1.0, 2.0]"
hazel park condominium,"(1.0, 1.5]","(1.0, 2.0]"
hazel park condominium,"(2.5, 3.0]","(1.0, 2.0]"
hedges park condominium,"(0.0, 1.0]","(1.0, 2.0]"
hedges park condominium,"(1.0, 1.5]","(1.0, 2.0]"
hedges park condominium,"(1.5, 2.0]","(1.0, 2.0]"
heji gardens,"(2.0, 2.5]","(1.0, 2.0]"
helios residences,"(1.0, 1.5]","(2.0, 3.0]"
helios residences,"(1.5, 2.0]","(3.0, 4.0]"
helios residences,"(2.0, 2.5]","(3.0, 4.0]"
helios residences,"(3.0, 4.0]","(1.0, 2.0]"
heritage east,"(0.0, 1.0]","(1.0, 2.0]"
heritage place,"(0.0, 1.0]","(3.0, 4.0]"
heritage view,"(0.0, 1.0]","(1.0, 2.0]"
heritage view,"(1.0, 1.5]","(1.0, 2.0]"
heron bay,"(0.0, 1.0]","(1.0, 2.0]"
heron bay,"(1.0, 1.5]","(1.0, 2.0]"
heron bay,"(1.5, 2.0]","(0.0, 1.0]"
heron bay,"(2.0, 2.5]","(0.0, 1.0]"
heron bay,"(2.5, 3.0]","(1.0, 2.0]"
hertford collection,"(1.0, 1.5]","(1.0, 2.0]"
high oak condominium,"(1.0, 1.5]","(1.0, 2.0]"
high park residences,"(0.0, 1.0]","(1.0, 2.0]"
high park residences,"(1.0, 1.5]","(1.0, 2.0]"
high park residences,"(2.0, 2.5]","(1.0, 2.0]"
highgate,"(1.0, 1.5]","(1.0, 2.0]"
highgate crescent,"(1.0, 1.5]","(1.0, 2.0]"
highgate crescent,"(1.5, 2.0]","(1.0, 2.0]"
highland centre,"(1.5, 2.0]","(1.0, 2.0]"
highland centre,"(3.0, 4.0]","(0.0, 1.0]"
highline residences,"(0.0, 1.0]","(2.0, 3.0]"
highline residences,"(1.0, 1.5]","(2.0, 3.0]"
highline residences,"(2.0, 2.5]","(2.0, 3.0]"
hijauan,"(0.0, 1.0]","(2.0, 3.0]"
hillbrooks,"(1.0, 1.5]","(1.0, 2.0]"
hillcrest arcadia,"(1.5, 2.0]","(1.0, 2.0]"
hillington green,"(1.5, 2.0]","(1.0, 2.0]"
hillion residences,"(0.0, 1.0]","(1.0, 2.0]"
hillion residences,"(2.5, 3.0]","(1.0, 2.0]"
hillion residences,"(3.0, 4.0]","(1.0, 2.0]"
hills apartment,"(2.5, 3.0]","(2.0, 3.0]"
hills twoone,"(0.0, 1.0]","(1.0, 2.0]"
hillside drive,"(0.0, 1.0]","(1.0, 2.0]"
hillsta,"(0.0, 1.0]","(1.0, 2.0]"
hillsta,"(1.0, 1.5]","(1.0, 2.0]"
hilltop grove,"(1.0, 1.5]","(1.0, 2.0]"
hilltops,"(0.0, 1.0]","(3.0, 4.0]"
hilltops,"(1.0, 1.5]","(3.0, 4.0]"
hilltops,"(1.5, 2.0]","(3.0, 4.0]"
hilltops,"(2.0, 2.5]","(3.0, 4.0]"
hilltops,"(2.5, 3.0]","(4.0, 5.0]"
hillview 128,"(1.0, 1.5]","(1.0, 2.0]"
hillview garden estate,"(0.0, 1.0]","(2.0, 3.0]"
hillview garden estate,"(3.0, 4.0]","(1.0, 2.0]"
hillview green,"(1.0, 1.5]","(1.0, 2.0]"
hillview heights,"(0.0, 1.0]","(1.0, 2.0]"
hillview heights,"(1.0, 1.5]","(1.0, 2.0]"
hillview park,"(0.0, 1.0]","(1.0, 2.0]"
hillview regency,"(0.0, 1.0]","(1.0, 2.0]"
hillview regency,"(1.0, 1.5]","(1.0, 2.0]"
holland grove road,"(0.0, 1.0]","(2.0, 3.0]"
holland grove road,"(1.0, 1.5]","(2.0, 3.0]"
holland grove road,"(3.0, 4.0]","(2.0, 3.0]"
holland road,"(0.0, 1.0]","(2.0, 3.0]"
holland road,"(1.0, 1.5]","(2.0, 3.0]"
holland road,"(1.5, 2.0]","(1.0, 2.0]"
hollandswood court,"(2.0, 2.5]","(1.0, 2.0]"
holt residences,"(2.5, 3.0]","(2.0, 3.0]"
hong heng garden,"(2.0, 2.5]","(1.0, 2.0]"
honolulu tower,"(5.0, 15.0]","(2.0, 3.0]"
horizon residences,"(0.0, 1.0]","(2.0, 3.0]"
horizon residences,"(1.0, 1.5]","(1.0, 2.0]"
horizon towers,"(2.5, 3.0]","(1.0, 2.0]"
hougang avenue 2,"(1.0, 1.5]","(1.0, 2.0]"
hougang avenue 3,"(0.0, 1.0]","(0.0, 1.0]"
hougang central,"(0.0, 1.0]","(1.0, 2.0]"
hougang green,"(1.0, 1.5]","(0.0, 1.0]"
how sun road,"(0.0, 1.0]","(2.0, 3.0]"
hume avenue,"(2.5, 3.0]","(1.0, 2.0]"
hume park i,"(1.5, 2.0]","(1.0, 2.0]"
hundred palms residences,"(1.0, 1.5]","(1.0, 2.0]"
hundred trees,"(0.0, 1.0]","(1.0, 2.0]"
hundred trees,"(1.0, 1.5]","(1.0, 2.0]"
hyll on holland,"(0.0, 1.0]","(2.0, 3.0]"
hyll on holland,"(1.0, 1.5]","(2.0, 3.0]"
icon,"(0.0, 1.0]","(2.0, 3.0]"
icon,"(1.0, 1.5]","(2.0, 3.0]"
icon @ pasir panjang,"(0.0, 1.0]","(1.0, 2.0]"
icon @ pasir panjang,"(1.0, 1.5]","(1.0, 2.0]"
idyllic east,"(1.5, 2.0]","(1.0, 2.0]"
idyllic suites,"(0.0, 1.0]","(1.0, 2.0]"
ikigai,"(0.0, 1.0]","(2.0, 3.0]"
ikigai,"(1.0, 1.5]","(2.0, 3.0]"
illuminaire on devonshire,"(0.0, 1.0]","(2.0, 3.0]"
imperial heights,"(0.0, 1.0]","(1.0, 2.0]"
infini at east coast,"(0.0, 1.0]","(2.0, 3.0]"
infini at east coast,"(1.0, 1.5]","(2.0, 3.0]"
infini at east coast,"(1.5, 2.0]","(1.0, 2.0]"
international plaza,"(0.0, 1.0]","(1.0, 2.0]"
international plaza,"(1.0, 1.5]","(1.0, 2.0]"
international plaza,"(1.5, 2.0]","(1.0, 2.0]"
intero,"(1.0, 1.5]","(1.0, 2.0]"
inz residence,"(1.5, 2.0]","(1.0, 2.0]"
iresidences,"(0.0, 1.0]","(1.0, 2.0]"
iresidences,"(3.0, 4.0]","(1.0, 2.0]"
iridium,"(2.5, 3.0]","(1.0, 2.0]"
